,Park Name,Budget Request(dollars in thousands),Year
1,Acadia NP,4706,2002
12,Arches NP,1020,2002
17,Badlands NP,3072,2002
21,Big Bend NP,4735,2002
27,Biscayne NP,3480,2002
28,Black Canyon of the Gunnison NP,761,2002
36,Bryce Canyon NP,2689,2002
42,Canyonlands NP,5082,2002
46,Capitol Reef NP,1917,2002
49,Carlsbad Caverns NP,5272,2002
56,Channel Islands NP,4983,2002
71,Crater Lake NP,4052,2002
76,Cuyahoga Valley NP,9599,2002
79,Death Valley NP,6962,2002
81,Denali NP & Preserve,9903,2002
85,Dry Tortugas NP,1302,2002
95,Everglades NP,13673,2002
125,Gates of the Arctic NP & Preserve,1873,2002
134,Glacier Bay NP & Preserve,3524,2002
135,Glacier NP,10426,2002
139,Grand Canyon NP,18710,2002
141,Grand Teton NP,8816,2002
143,Great Basin NP,1912,2002
145,Great Smoky Mountains NP,15202,2002
147,Guadalupe Mountains NP,2141,2002
151,Haleakala NP,3755,2002
155,Hawaii Volcanoes NP,5546,2002
162,Hot Springs NP,3241,2002
167,Isle Royale NP,3274,2002
178,Joshua Tree NP,4230,2002
181,"Katmai NP & Pres, Aniakchak NM & Pres",2357,2002
182,Kenai Fjords NP,2322,2002
189,Lake Clark NP & Preserve,1872,2002
194,Lassen Volcanic NP,3592,2002
200,Little River Canyon NPres,919,2002
206,Mammoth Cave NP,5731,2002
220,Mesa Verde NP,4854,2002
225,Mojave NPres,3708,2002
230,Mount Rainier NP,9082,2002
248,"No. Cascades NP, Lk Chelan NRA, Ross Lk NRA",5578,2002
252,Olympic NP,10363,2002
262,Petrified Forest NP,2560,2002
277,Redwood NP,7115,2002
281,Rocky Mountain NP,9961,2002
286,Saguaro NP,2842,2002
301,Sequoia NP & Kings Canyon NP,12628,2002
302,Shenandoah NP,10557,2002
310,Tallgrass Prairie NPres,716,2002
314,Theodore Roosevelt NP,1956,2002
328,Virgin Islands NP,4864,2002
329,Voyageurs NP,3198,2002
336,"Kobuk Valley NP, Noatak NPres",3200,2002
344,Wind Cave NP,1892,2002
347,Wrangell-Saint Elias NP & Preserve,3356,2002
349,Yellowstone NP,27084,2002
350,Yosemite NP,23320,2002
353,Zion NP,5963,2002
1,Acadia NP,5686,2003
10,Arches NP,1148,2003
15,Badlands NP,3080,2003
19,Big Bend NP,4746,2003
25,Biscayne NP,3487,2003
26,Black Canyon of the Gunnison NP,1035,2003
34,Bryce Canyon NP,2696,2003
40,Canyonlands NP,5385,2003
45,Capitol Reef NP,1878,2003
48,Carlsbad Caverns NP,5282,2003
55,Channel Islands NP,4989,2003
70,Crater Lake NP,4062,2003
75,Cuyahoga Valley NP,9617,2003
78,Death Valley NP,6977,2003
80,Denali NP & Preserve,11030,2003
84,Dry Tortugas NP,1304,2003
93,Everglades NP,13958,2003
126,Gates of the Arctic NP & Preserve,2073,2003
135,Glacier Bay NP & Preserve,3529,2003
136,Glacier NP,10451,2003
140,Grand Canyon NP,19016,2003
142,Grand Teton NP,8841,2003
144,Great Basin NP,1917,2003
146,Great Smoky Mountains NP,15483,2003
148,Guadalupe Mountains NP,2348,2003
152,Haleakala NP,3763,2003
156,Hawaii Volcanoes NP,5559,2003
163,Hot Springs NP,3392,2003
168,Isle Royale NP,3281,2003
179,Joshua Tree NP,4244,2003
182,"Katmai NP & Pres, Aniakchak NM & Pres",2362,2003
183,Kenai Fjords NP,2324,2003
190,Lake Clark NP & Preserve,2011,2003
195,Lassen Volcanic NP,3765,2003
205,Mammoth Cave NP,5742,2003
219,Mesa Verde NP,4877,2003
223,Mojave NPres,3712,2003
228,Mount Rainier NP,9105,2003
244,"No. Cascades NP, Lk Chelan NRA, Ross Lk NRA",5594,2003
248,Olympic NP,10390,2003
258,Petrified Forest NP,2564,2003
273,Redwood NP,7464,2003
277,Rocky Mountain NP,10195,2003
280,Saguaro NP,2836,2003
295,Sequoia NP & Kings Canyon NP,13161,2003
296,Shenandoah NP,10584,2003
304,Tallgrass Prairie NPres,888,2003
308,Theodore Roosevelt NP,2208,2003
322,Virgin Islands NP,4874,2003
324,Voyageurs NP,3207,2003
329,"Kobuk Valley NP, Noatak NPres",3203,2003
337,Wind Cave NP,1899,2003
340,Wrangell-Saint Elias NP & Preserve,3905,2003
341,Yellowstone NP,27304,2003
342,Yosemite NP,23378,2003
345,Zion NP,6044,2003
1,Acadia NP,6415,2004
12,Arches NP,1162,2004
17,Badlands NP,3116,2004
21,Big Bend NP,5092,2004
27,Biscayne NP,3501,2004
28,Black Canyon of the Gunnison NP,1044,2004
36,Bryce Canyon NP,2728,2004
42,Canyonlands NP,5438,2004
47,Capitol Reef NP,1892,2004
50,Carlsbad Caverns NP,5333,2004
58,Channel Islands NP,5028,2004
73,Crater Lake NP,4087,2004
78,Cuyahoga Valley NP,9719,2004
81,Death Valley NP,7026,2004
83,Denali NP & Preserve,11035,2004
87,Dry Tortugas NP,1297,2004
97,Everglades NP,14053,2004
131,Gates of the Arctic NP & Preserve,1976,2004
140,Glacier Bay NP & Preserve,3781,2004
141,Glacier NP,11289,2004
146,Grand Canyon NP,19248,2004
148,Grand Teton NP,9232,2004
150,Great Basin NP,1931,2004
152,Great Smoky Mountains NP,15846,2004
154,Guadalupe Mountains NP,2366,2004
158,Haleakala NP,3931,2004
162,Hawaii Volcanoes NP,5597,2004
169,Hot Springs NP,3419,2004
174,Isle Royale NP,3305,2004
185,Joshua Tree NP,4270,2004
188,"Katmai NP & Pres, Aniakchak NM & Pres",2480,2004
189,Kenai Fjords NP,2639,2004
196,Lake Clark NP & Preserve,1858,2004
201,Lassen Volcanic NP,3791,2004
213,Mammoth Cave NP,5805,2004
227,Mesa Verde NP,4962,2004
233,Mojave NPres,3742,2004
238,Mount Rainier NP,9471,2004
256,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",6025,2004
260,Olympic NP,10514,2004
270,Petrified Forest NP,2584,2004
285,Redwood NP,7522,2004
289,Rocky Mountain NP,10332,2004
295,Saguaro NP,2877,2004
311,Sequoia NP & Kings Canyon NP,13244,2004
312,Shenandoah NP,10708,2004
320,Tallgrass Prairie NPres,890,2004
324,Theodore Roosevelt NP,2226,2004
338,Virgin Islands NP,4884,2004
340,Voyageurs NP,3236,2004
347,"Kobuk Valley NP, Noatak NPres",-2,2004
354,Wind Cave NP,2158,2004
357,Wrangell-Saint Elias NP & Preserve,3887,2004
358,Yellowstone NP,28097,2004
359,Yosemite NP,23537,2004
362,Zion NP,6128,2004
1,Acadia NP,6277,2005
12,Arches NP,1140,2005
17,Badlands NP,3056,2005
21,Big Bend NP,5531,2005
27,Biscayne NP,3434,2005
28,Black Canyon of the Gunnison NP,1024,2005
36,Bryce Canyon NP,2674,2005
42,Canyonlands NP,5334,2005
47,Capitol Reef NP,1856,2005
50,Carlsbad Caverns NP,5231,2005
58,Channel Islands NP,5744,2005
70,Congaree Swamp NP,955,2005
73,Crater Lake NP,4105,2005
78,Cuyahoga Valley NP,9508,2005
81,Death Valley NP,6778,2005
83,Denali NP & Preserve,10687,2005
87,Dry Tortugas NP,1276,2005
97,Everglades NP,14827,2005
131,Gates of the Arctic NP & Preserve,2162,2005
140,Glacier Bay NP & Preserve,3627,2005
141,Glacier NP,11372,2005
146,Grand Canyon NP,18566,2005
148,Grand Teton NP,9901,2005
150,Great Basin NP,1894,2005
152,Great Smoky Mountains NP,15329,2005
154,Guadalupe Mountains NP,2321,2005
158,Haleakala NP,4003,2005
162,Hawaii Volcanoes NP,5396,2005
169,Hot Springs NP,3625,2005
174,Isle Royale NP,3466,2005
185,Joshua Tree NP,4063,2005
188,"Katmai NP & Pres, Aniakchak NM & Pres",2857,2005
189,Kenai Fjords NP,2704,2005
196,Lake Clark NP & Preserve,1778,2005
201,Lassen Volcanic NP,3760,2005
213,Mammoth Cave NP,5694,2005
227,Mesa Verde NP,5024,2005
233,Mojave NPres,3672,2005
238,Mount Rainier NP,9624,2005
256,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",5911,2005
260,Olympic NP,10080,2005
270,Petrified Forest NP,2700,2005
285,Redwood NP,7043,2005
289,Rocky Mountain NP (& Cache La Pudre Heritage Ar. Tech.Assis,10337,2005
295,Saguaro NP,3021,2005
311,Sequoia NP & Kings Canyon NP,12977,2005
312,Shenandoah NP,10255,2005
320,Tallgrass Prairie NPres,873,2005
324,Theodore Roosevelt NP,2184,2005
339,Virgin Islands NP,4792,2005
340,Voyageurs NP,3174,2005
347,"Kobuk Valley NP, Noatak NPres",0,2005
355,Wind Cave NP,2117,2005
358,Wrangell-Saint Elias NP & Preserve,3730,2005
