Park Name,Year,Visits
Abraham Lincoln Birthplace NHP,2019,238226
Abraham Lincoln Birthplace NHP,1979,271231
Abraham Lincoln Birthplace NHP,1980,239074
Abraham Lincoln Birthplace NHP,1981,252245
Abraham Lincoln Birthplace NHP,1982,318707
Abraham Lincoln Birthplace NHP,1983,256126
Abraham Lincoln Birthplace NHP,1984,258023
Abraham Lincoln Birthplace NHP,1985,264905
Abraham Lincoln Birthplace NHP,1986,280620
Abraham Lincoln Birthplace NHP,1987,292825
Abraham Lincoln Birthplace NHP,1988,288324
Abraham Lincoln Birthplace NHP,1989,309823
Abraham Lincoln Birthplace NHP,1990,307669
Abraham Lincoln Birthplace NHP,1991,316945
Abraham Lincoln Birthplace NHP,1992,302739
Abraham Lincoln Birthplace NHP,1993,293710
Abraham Lincoln Birthplace NHP,1994,279542
Abraham Lincoln Birthplace NHP,1995,268509
Abraham Lincoln Birthplace NHP,1996,249344
Abraham Lincoln Birthplace NHP,1997,262889
Abraham Lincoln Birthplace NHP,1998,250842
Abraham Lincoln Birthplace NHP,1999,251204
Abraham Lincoln Birthplace NHP,2000,236180
Abraham Lincoln Birthplace NHP,2001,229675
Abraham Lincoln Birthplace NHP,2002,250772
Abraham Lincoln Birthplace NHP,2003,211650
Abraham Lincoln Birthplace NHP,2004,201828
Abraham Lincoln Birthplace NHP,2005,190809
Abraham Lincoln Birthplace NHP,2006,200054
Abraham Lincoln Birthplace NHP,2007,202950
Abraham Lincoln Birthplace NHP,2008,200404
Abraham Lincoln Birthplace NHP,2009,221111
Abraham Lincoln Birthplace NHP,2010,177122
Abraham Lincoln Birthplace NHP,2011,163568
Abraham Lincoln Birthplace NHP,2012,169515
Abraham Lincoln Birthplace NHP,2013,163928
Abraham Lincoln Birthplace NHP,2014,241264
Abraham Lincoln Birthplace NHP,2015,148605
Abraham Lincoln Birthplace NHP,2016,252495
Abraham Lincoln Birthplace NHP,2017,269580
Abraham Lincoln Birthplace NHP,2018,260964
Acadia NP,2019,3437286
Acadia NP,1979,2787366
Acadia NP,1980,2779666
Acadia NP,1981,2997972
Acadia NP,1982,3572114
Acadia NP,1983,4124639
Acadia NP,1984,3734763
Acadia NP,1985,3745570
Acadia NP,1986,3929054
Acadia NP,1987,4288154
Acadia NP,1988,4502283
Acadia NP,1989,5440952
Acadia NP,1990,2339591
Acadia NP,1991,2475857
Acadia NP,1992,2382113
Acadia NP,1993,2656034
Acadia NP,1994,2710749
Acadia NP,1995,2845378
Acadia NP,1996,2704831
Acadia NP,1997,2760306
Acadia NP,1998,2594497
Acadia NP,1999,2602227
Acadia NP,2000,2469238
Acadia NP,2001,2516551
Acadia NP,2002,2558572
Acadia NP,2003,2431062
Acadia NP,2004,2207847
Acadia NP,2005,2051484
Acadia NP,2006,2083588
Acadia NP,2007,2202228
Acadia NP,2008,2075857
Acadia NP,2009,2227698
Acadia NP,2010,2504208
Acadia NP,2011,2374645
Acadia NP,2012,2431052
Acadia NP,2013,2254922
Acadia NP,2014,2563129
Acadia NP,2015,2811184
Acadia NP,2016,3303393
Acadia NP,2017,3509271
Acadia NP,2018,3537575
Adams NHP,2019,187400
Adams NHP,1979,34322
Adams NHP,1980,24974
Adams NHP,1981,27055
Adams NHP,1982,25440
Adams NHP,1983,26162
Adams NHP,1984,23398
Adams NHP,1985,24555
Adams NHP,1986,24693
Adams NHP,1987,25617
Adams NHP,1988,21617
Adams NHP,1989,22595
Adams NHP,1990,20315
Adams NHP,1991,26958
Adams NHP,1992,27400
Adams NHP,1993,43877
Adams NHP,1994,41179
Adams NHP,1995,47312
